time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,300,299.8190361445784,169.06265060240972,270.43999999999994,85.00000000000001,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,45.186312913894646,77611,5938
no,300,299.8190361445784,169.06265060240972,279.56999999999994,85.00000000000001,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,48.728888511657715,77611,5938
no,300,299.8190361445784,169.06265060240972,285.845,85.00000000000001,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,44.68752026557922,77611,5938
no,300,299.8190361445784,169.06265060240972,282.00999999999993,85.00000000000001,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,40.9547905921936,77611,5938
no,300,299.8190361445784,169.06265060240972,291.42,85.00000000000001,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,48.30721473693848,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,29.10255837440491,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,28.852341890335087,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,27.241899490356445,77611,5938
no,300,299.8190361445784,169.06265060240972,281.94999999999993,85.00000000000001,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,40.836224555969245,77611,5938
no,300,299.8190361445784,169.06265060240972,278.1499999999999,85.00000000000001,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,44.15980100631714,77611,5938
no,300,299.8190361445784,169.06265060240972,286.88333333333327,85.00000000000001,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,39.85650610923767,77611,5938
no,300,299.8190361445784,169.06265060240972,274.16,85.00000000000001,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,45.19630980491638,77611,5938
no,300,299.8190361445784,169.06265060240972,270.43999999999994,85.00000000000001,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,44.99224376678467,77611,5938
no,300,299.8190361445784,169.06265060240972,279.56999999999994,85.00000000000001,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,10649.235654354095,46.66130614280701,77611,5938
no,300,299.8190361445784,169.06265060240972,289.74999999999994,85.00000000000001,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,10649.235654354095,44.74356031417847,77611,5938
no,300,299.8190361445784,169.06265060240972,292.22,85.00000000000001,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,10649.235654354095,47.46348381042481,77611,5938
no,300,299.8190361445784,169.06265060240972,286.58999999999986,85.00000000000001,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,10649.235654354095,39.73840522766113,77611,5938
no,300,299.8190361445784,169.06265060240972,277.29999999999995,85.00000000000001,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,10649.235654354095,43.64076662063599,77611,5938
no,300,299.8190361445784,169.06265060240972,273.5299999999999,85.00000000000001,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,10649.235654354095,42.612101078033454,77611,5938
no,300,299.8190361445784,169.06265060240972,281.86,85.00000000000001,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,10649.235654354095,47.18533754348755,77611,5938
no,300,299.8190361445784,169.06265060240972,289.74999999999994,85.00000000000003,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,10649.235654354095,44.62323307991028,77611,5938
no,300,299.8190361445784,169.06265060240972,285.845,85.00000000000001,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,10649.235654354095,45.26324439048767,77611,5938
no,300,299.8190361445784,169.06265060240972,294.85,85.00000000000001,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,10649.235654354095,41.64350891113281,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,10649.235654354095,31.14517021179199,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,10649.235654354095,27.867250204086304,77611,5938
no,300,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,10649.235654354095,31.101296186447144,77611,5938
no,300,299.8190361445784,169.06265060240972,278.06999999999994,85.00000000000001,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,10649.235654354095,45.54440474510193,77611,5938
no,300,299.8190361445784,169.06265060240972,274.28,85.00000000000001,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,10649.235654354095,46.6367712020874,77611,5938
no,300,299.8190361445784,169.06265060240972,283.56,85.00000000000001,266.50625,273.89533615830493,315.028125,164.5875588295919,10649.235654354095,40.867319107055664,77611,5938
30,no,128.23506329113923,27.008860759493665,348.01,16.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,43.68943858146668,77611,5938
30,no,128.23506329113923,27.008860759493665,344.29,16.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,49.71109199523926,77611,5938
30,no,128.23506329113923,27.008860759493665,353.42,16.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,47.95771265029907,77611,5938
30,no,128.23506329113923,27.008860759493665,359.68999999999994,16.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,38.461631298065186,77611,5938
30,no,128.23506329113923,27.008860759493665,355.86,16.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,42.310110569000244,77611,5938
30,no,128.23506329113923,27.008860759493665,365.25666666666666,16.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,47.063815355300896,77611,5938
30,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,30.546785831451416,77611,5938
30,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,27.250205755233765,77611,5938
30,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,27.550417184829712,77611,5938
30,no,128.23506329113923,27.008860759493665,355.7999999999999,16.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,45.82115244865418,77611,5938
30,no,128.23506329113923,27.008860759493665,351.99,16.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,45.62935709953308,77611,5938
30,no,128.23506329113923,27.008860759493665,361.33999999999986,16.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,42.53428888320923,77611,5938
30,no,128.23506329113923,27.008860759493665,348.01,16.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,51.179776906967156,77611,5938
30,no,128.23506329113923,27.008860759493665,344.29,16.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,49.37642741203308,77611,5938
